# ----------------------------------------
# Ringkasan laporan
# Akun: Node Coffee
# Properti: Landing Page Node Coffee
# ----------------------------------------
#  
# Tanggal mulai: 20260616
# Tanggal akhir: 20260713
Pengguna aktif,Pengguna baru,Waktu engagement rata-rata per pengguna aktif,Jumlah peristiwa
6,6,31.666666666666668,80

#  
# Tanggal mulai: 20260616
# Tanggal akhir: 20260713
Judul halaman dan jenis layar,Tampilan,Pengguna aktif,Jumlah peristiwa,Rasio pantulan
Node Coffee — Kafe Produktif & Coworking Space di Yogyakarta,36,6,80,0.42857142857142855

#  
# Tanggal mulai: 20260616
# Tanggal akhir: 20260713
Sumber/media pengguna pertama,Pengguna aktif
(direct) / (none),6

#  
# Tanggal mulai: 20260616
# Tanggal akhir: 20260713
Sumber/media sesi,Sesi
(direct) / (none),9
vercel.com / referral,4

#  
# Tanggal mulai: 20260616
# Tanggal akhir: 20260713
Hari ke-n,new,returning
0000,0,0
0001,0,0
0002,0,0
0003,0,0
0004,0,0
0005,0,0
0006,0,0
0007,0,0
0008,0,0
0009,0,0
0010,0,0
0011,0,0
0012,0,0
0013,0,0
0014,0,0
0015,4,1
0016,0,0
0017,0,1
0018,0,0
0019,0,0
0020,0,0
0021,0,0
0022,1,1
0023,1,0
0024,0,0
0025,0,0
0026,0,0
0027,0,0

# Apa perbedaan antara aktivitas platform Anda yang satu dengan yang lain?
# Tanggal mulai: 20260616
# Tanggal akhir: 20260713
Platform,Peristiwa utama


#  
# Tanggal mulai: 20260616
# Tanggal akhir: 20260713
Kota,Pengguna aktif
Depok,4
Indramayu,1
Yogyakarta,1

#  
# Tanggal mulai: 20260616
# Tanggal akhir: 20260713
Nama audiens,Pengguna aktif
All Users,6
